City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Bethel,41.3712,-73.414,60.03,69,100,3.0,overcast clouds
87,Guerrero Negro,27.9769,-114.0611,69.87,75,0,14.76,clear sky
88,Tilichiki,60.4667,166.1,35.44,85,94,5.82,overcast clouds
89,Ostrovnoy,68.0531,39.5131,36.37,87,100,9.55,overcast clouds
90,Ponta Do Sol,32.6667,-17.1,70.43,78,18,5.01,few clouds
91,Olovyannaya,50.95,115.5667,34.99,40,82,18.77,broken clouds
92,Blagoyevo,63.3667,47.9167,41.54,96,100,3.13,light rain
93,Buala,-8.145,159.5921,85.33,65,27,3.67,light rain
94,Kemin,42.7846,75.6892,50.56,46,89,2.46,overcast clouds
95,Uvat,59.1433,68.8953,24.73,86,15,6.6,few clouds
96,Morristown,36.214,-83.2949,55.72,74,100,4.61,overcast clouds
97,Tyret Pervaya,53.6703,102.3106,31.8,63,97,12.46,overcast clouds
98,Uyuni,-20.4597,-66.825,45.36,25,7,2.48,clear sky
99,Arraial Do Cabo,-22.9661,-42.0278,68.31,86,31,17.25,scattered clouds
100,Shenzhen,22.5455,114.0683,87.85,71,42,10.76,scattered clouds
101,Kalmunai,7.4167,81.8167,82.18,63,95,5.68,overcast clouds
102,Kieta,-6.2167,155.6333,84.47,66,10,4.72,light rain
103,Mangrol,21.1167,70.1167,80.04,71,19,7.14,few clouds
104,Severo-Kurilsk,50.6789,156.125,46.8,67,61,27.83,broken clouds
105,Manzil Salim,35.8567,8.4765,60.73,73,3,1.57,clear sky
106,Altay,47.8667,88.1167,31.87,25,4,2.68,clear sky
107,Voh,-20.9667,164.7,80.46,43,87,8.59,overcast clouds
108,Torrington,41.8007,-73.1212,58.44,60,100,4.0,overcast clouds
109,Porto Recanati,43.4365,13.6613,66.97,51,0,4.07,clear sky
110,Tiksi,71.6872,128.8694,21.27,86,100,15.73,overcast clouds
111,Jensen Beach,27.2545,-80.2298,80.1,79,100,4.0,overcast clouds
112,Gallup,35.5281,-108.7426,68.76,51,75,11.5,broken clouds
113,Poya,-21.35,165.15,78.87,50,25,6.73,scattered clouds
114,Atuona,-9.8,-139.0333,77.02,74,3,18.05,clear sky
115,Varkkallai,8.7341,76.7067,78.58,83,100,5.46,overcast clouds
116,Natal,-5.795,-35.2094,77.22,83,20,5.75,few clouds
117,Adrar,20.5022,-10.0711,78.26,24,2,8.66,clear sky
118,Batagay,67.6333,134.6333,25.79,79,100,1.77,overcast clouds
119,Anadyr,64.75,177.4833,41.5,65,20,6.71,few clouds
120,Port-Gentil,-0.7193,8.7815,77.09,85,100,10.51,moderate rain
121,Tuatapere,-46.1333,167.6833,53.38,63,20,1.99,few clouds
122,Ribeira Grande,38.5167,-28.7,71.98,89,99,26.13,light rain
123,Daru,-9.0763,143.2092,80.56,85,100,11.01,overcast clouds
124,Warora,20.2333,79.0,76.1,82,52,8.23,broken clouds
125,Port Lincoln,-34.7333,135.8667,65.79,59,100,4.32,overcast clouds
126,Zhuanghe,39.7008,122.9911,61.2,93,100,20.04,moderate rain
127,Kulevcha,46.0303,29.9361,63.84,90,100,16.06,light rain
128,Deputatskiy,69.3,139.9,13.01,92,68,2.64,broken clouds
129,Luderitz,-26.6481,15.1594,57.25,76,0,10.87,clear sky
130,Edd,13.9297,41.6925,88.11,63,14,1.12,few clouds
131,Jaisalmer,26.9147,70.9181,77.61,61,0,15.28,clear sky
132,Rosario Do Sul,-30.2583,-54.9142,54.84,82,2,7.4,clear sky
133,Guanica,17.9716,-66.908,81.21,85,100,9.48,overcast clouds
134,Esperance,-33.8667,121.9,57.04,70,100,18.41,overcast clouds
135,Djougou,9.7085,1.666,69.42,98,84,3.85,broken clouds
136,Nuuk,64.1835,-51.7216,34.41,93,75,4.61,broken clouds
137,Thunder Bay,48.4001,-89.3168,42.78,93,75,3.44,broken clouds
138,Saint-Pierre,-21.3393,55.4781,65.88,59,100,6.91,overcast clouds
139,Bambous Virieux,-20.3428,57.7575,70.05,64,75,13.8,broken clouds
140,Pundaguitan,6.3711,126.1689,82.62,77,96,9.24,overcast clouds
141,Moron,-34.6534,-58.6198,63.97,80,98,4.88,overcast clouds
142,Oum Hadjer,13.2954,19.6966,82.22,51,4,6.53,clear sky
143,Ilulissat,69.2167,-51.1,30.22,74,98,0.0,overcast clouds
144,Hong Gai,20.956,107.0946,76.91,94,100,5.28,moderate rain
145,Barrow,71.2906,-156.7887,28.42,74,100,9.22,overcast clouds
146,Ratnagiri,16.9833,73.3,76.51,91,59,4.5,broken clouds
147,Hualmay,-11.0964,-77.6139,62.06,83,59,10.16,broken clouds
148,Nome,64.5011,-165.4064,46.47,61,0,6.91,clear sky
